Time, Size, Iters, Loop_iters
162.915,1,4096,3
164.446,1,4096,3
140.597,1,32768,3
164.607,1,32768,3
163.691,1,32768,3
112.533,1,32768,3
164.416,1,32768,3
154.184,1,32768,3
164.18,1,1024,3
167.542,1,1024,3
184.062,1,32,3
206.667,1,32,3
210.521,1,32,3
455.938,1,32,3
222.812,1,32,3
246.364,1,1024,3
466.123,1,1024,3
458.767,1,1024,3
428.683,1,1024,1
434.404,1,1024,1
436.983,1,1024,1
465,1,32,1
471.25,1,32,1
471.875,1,32,1
453.655,1,4096,1
444.082,1,4096,1
446.868,1,4096,1
388.195,1,32768,1
321.348,1,32768,1
422.129,1,32768,1
174.199,1,1048576,1
174.558,1,1048576,1
174.234,1,1048576,1
6697.06,1,4096,1
2652.86,1,1024,1
2643.56,1,1024,1
2660.14,1,1024,1
2636.15,1,1024,1
6770.64,1,4096,1
6585.18,1,4096,1
6285.74,1,4096,1
15540.6,1,16384,1
15681.7,1,16384,1
15543.2,1,16384,1
82.8125,1,32,1
81.5625,1,32,1
78.75,1,32,1
2887.06,1,1024,1
2666.98,1,1024,1
2683.01,1,1024,1
2637.66,1,1024,1
2658.27,1,1024,1
30058.8,1,32768,1
29730.3,1,32768,1
29922.2,1,32768,1
5118.15,1,32768,1
9333.48,1,1024,1
12699.9,1,1024,1
12711.8,1,1024,1
9371.65,1,1024,1
12650,1,1024,1
12810.9,1,1024,1
12598,1,1024,1
12631.8,1,1024,1
12590.1,1,1024,1
9843.31,1,1024,1
12553.1,1,1024,1
9896.74,1,1024,1
9804.65,1,1024,1
5172.43,1,32768,1
19683.9,1,1024,1
18362.3,1,1024,1
14954.9,1,1024,1
17562.1,1,1024,1
1395.06,1,1024,1
1358.52,1,1024,1
1371.05,1,1024,1
1370.04,1,1024,1
1401.85,1,1024,1
1408.6,1,1024,1
15375,1,32768,1
15184,1,32768,1
15277.8,1,32768,1
0.732422,1,1024,1
0.000257492,1,1048576,1
27.4902,1,1024,1
21.6785,1,32768,1
13.5895,1,1048576,1
2985.89,1,1024,1
2994.42,1,1024,1
22.5488,1,1024,1
1546.68,1,32768,1
2975.16,1,1024,1
3033.33,1,1024,1
3002.87,1,1024,1
1134.43,1,1048576,1
22.4219,1,1024,1
22.4512,1,1024,1
21.6464,1,32768,1
21.6452,1,32768,1
21.648,1,32768,1
8.79417,1,1048576,1
0.693359,1,1024,1
0.0222778,1,32768,1
1267.37,1,524288,1
843.185,1,1024,1
495.459,1,1024,1
819.806,1,1024,1
539.492,1,1024,1
496.339,1,1024,1
567.48,1,1024,1
1060.76,1,1024,1
482.686,1,1024,1
859.307,1,1024,1
744.053,1,1024,1
1313.7,1,1024,1
994.425,1,1024,1
1057.21,1,1024,1
1214.64,1,1024,1
1241.55,1,1024,1
1296.26,1,1024,1
1206.55,1,1024,1
1079.1,1,1024,1
775.987,1,1024,1
1221.69,1,1024,1
1436.41,1,1024,1
1362.58,1,1024,1
1002.62,1,1024,1
918.634,1,1024,1
1327.28,1,1024,1
1494.53,1,32768,1
932.744,1,1024,1
692.227,1,1024,1
635.187,1,1024,1
1582.7,1,1024,1
4413.45,1,1024,1
4308.37,1,1024,1
4648.83,1,1024,1
4402.83,1,1024,1
4863.58,1,1024,1
1927.55,1,1024,1
5077.91,1,1024,1
12.9883,1,1024,1
13.0566,1,1024,1
12.8906,1,1024,1
12.9199,1,1024,1
13.252,1,1024,1
12.9199,1,1024,1
22.0215,1,1024,1
83.9622,1,32768,1
289.249,1,1048576,1
27.6953,1,1024,1
20.9726,1,32768,1
9.52447,1,1048576,1
16.848,1,33554432,1
22.1875,1,1024,1
2.33105,10,1024,1
2.6582,10,1024,1
2.15332,10,1024,1
8.38907,10,32768,1
17.7826,10,262144,1
28.258,10,524288,1
28.8949,10,1048576,1
28.8974,10,1048576,1
29.2586,10,1048576,1
28.8769,10,1048576,1
27.9036,10,524288,1
2.76276,100,524288,1
20.3516,1,1024,1
162.779,1,262144,1
276.457,1,524288,1
290.995,1,1048576,1
164.103,1,131072,1
171.126,1,262144,1
276.415,1,524288,1
290.251,1,1048576,1
2165.85,1,2097152,1
1938.25,1,4194304,1
